lemma,force_translation
decir,to say
hombre,man
ver,to see
salir,to leave
volver,to return
pasar,to happen
genial,great
rápido,fast
llegar,to arrive
empezar,to start
perro,dog
foto,photo
normal,normal
conocer,to know
carne,meat
principal,main
bonito,pretty
escuchar,to listen
terminar,to finish
evitar,to avoid
verdadero,true
entender,to understand
contrario,opposite
terrible,terrible
feliz,happy
igual,same
difícil,difficult
grande,big
pensar,to think
suficiente,enough
coche,car
joven,young
fácil,easy
saber,to know
importante,important
claro,clear
cierto,certain
serio,serious
poner,to put
llevar,to take
matar,to kill
llamar,to call
buscar,to look for
conseguir,to get
esperar,to wait
cambiar,to change
tranquilo,calm
capaz,capable
amiga,friend
partir,to leave
persona,person
ropa,clothes
negro,black
necesario,necessary
increíble,incredible
correcto,correct
nacional,national
listo,ready
vivo,alive
buena,good
ve,go
mayor,older
mundo,world
pueblo,town
campo,field
hacerlo,to do it
deberías,should
dar,to give
darle,to give
caja,box
simple,simple
social,social
total,total
debido,due
entendido,understood
extraño,strange
